player_name,mmr,player_teams,matches,reliable_mmr,stratz_mmr
Dops32,8063.565998467286,"['WAKANDA MADE IN CHYNA', 'KnockKnock']",26,True,8000.0
SHIVER ME TIMBERS,8034.040099955579,"['Nigma Rebellion', 'KnockKnock', 'Season 40 Champs']",44,True,8000.0
kalnoky,8032.175246122645,['Season 40 Champs'],23,True,8000.0
Hex,8029.812396812333,"['Nigma Rebellion', 'KnockKnock', 'Season 42 Champs', 'Rektal Damage', 'Season 40 Champs']",113,True,8000.0
lemonade,8016.226971922621,"['Spice Boys', '#Packwatch']",25,True,8000.0
mirth,8012.477148746428,['Toxic Tacos'],20,True,8000.0
Ｋ－ＳＴＩＧＳ,8008.382452174633,"['Season 40 Champs', 'Balerion All-Blacks']",27,True,8000.0
OFF !!!,8006.179463819719,"['KnockKnock', 'Giga Obese Ovarian Navigators', '1-800-QQ']",51,True,8000.0
bored of hermes,8005.088657163259,['Toxic Tacos'],44,True,8000.0
BRAE,8002.145282079656,['#Packwatch'],21,True,8000.0
tint,7999.031155135496,['Toxic Tacos'],42,True,8000.0
MxGuire,7997.034778448616,['Toxic Tacos'],42,True,8000.0
Jidnahn ❤️ 響け!,7994.816453976848,['#1 Yami Glazers'],20,True,8000.0
nkf,7993.5717046245145,['#Packwatch'],23,True,8000.0
Yami116,7992.859957780475,['#1 Yami Glazers'],22,True,8000.0
TURTLEKING!,7990.013356741835,['Toxic Tacos'],22,True,8000.0
SiliXx.あすか,7988.748721286422,"['KnockKnock', 'Balerion All-Blacks', 'Northern Hog Suckers', 'Giga Obese Ovarian Navigators', 'Rektal Damage']",60,True,8000.0
Artorius,7988.615601675493,['Toxic Tacos'],40,True,8000.0
stanny,7987.122976146716,"['Nigma Rebellion', 'Balerion All-Blacks', 'Season 42 Champs', 'WAKANDA MADE IN CHYNA', 'Rektal Damage', 'Season 40 Champs']",117,True,8000.0
Legao,7985.849412277084,"['Spice Boys', '#Packwatch']",23,True,8000.0
involuntary celibate,7985.074178706972,['Empacadores de Soriana'],20,True,8000.0
MasterZ34,7982.444598118822,['Want Steep Sets?'],41,True,8000.0
ZYC,7980.956575765355,"['Spice Boys', 'dXo-Heroic - Mantle of Midas']",31,True,8000.0
K7,7980.1431003391335,"['Nigma Rebellion', 'Balerion All-Blacks', 'Season 42 Champs', 'Rektal Damage', 'Season 40 Champs']",91,True,8000.0
nojiit,7979.795213031181,"[""WoT's Sounding Club"", 'Scion and the 4 plebs', '1-800-QQ']",20,True,8000.0
Bungus,7978.598575282442,"['WAKANDA MADE IN CHYNA', 'Waist Of Time', '1-800-QQ', 'Cinco De Mayo']",36,True,8000.0
wife,7978.297111190236,"['Spice Boys', 'New Rebellion', 'Giga Obese Ovarian Navigators', 'TEAM POLAND', 'dXo-Heroic - Mantle of Midas']",33,True,8000.0
Yawlo,7977.529199917467,['Empacadores de Soriana'],21,True,8000.0
Billy Smoocher,7977.2843427460875,"['Waist Of Time', 'Cinco De Mayo']",20,True,8000.0
hc worst nightmare,7973.178687662835,['Empacadores de Soriana'],22,True,8000.0
For The Pills,7972.432238685426,['Gucci God'],20,True,8000.0
