player_name,mmr,player_teams,matches,reliable_mmr,stratz_mmr
Dops32,8193.660764716236,"['WAKANDA MADE IN CHYNA', 'KnockKnock']",26,True,8000.0
lemonade,8052.783589749085,"['Spice Boys', '#Packwatch']",25,True,8000.0
mirth,8036.808590477706,['Toxic Tacos'],20,True,8000.0
bored of hermes,8025.1830694728815,['Toxic Tacos'],44,True,8000.0
tint,8021.293831003377,['Toxic Tacos'],42,True,8000.0
kalnoky,8016.769876011015,['Season 40 Champs'],23,True,8000.0
MxGuire,8006.718884739683,['Toxic Tacos'],42,True,8000.0
Artorius,7987.401961623048,['Toxic Tacos'],40,True,8000.0
BRAE,7980.9889742170835,['#Packwatch'],21,True,8000.0
imma do her proud,7972.93801032032,"['Waist Of Time', 'The Whimsical Afrasians', ""Brit I'm a Dog, Woof! Brrr"", 'Sounding Club', 'Season 42 Champs', 'Does This Game have Fall Damage?', 'Golf Tuesday?']",71,True,8000.0
Hex,7971.828999855968,"['Nigma Rebellion', 'KnockKnock', 'Season 42 Champs', 'Rektal Damage', 'Season 40 Champs']",113,True,8000.0
Ｋ－ＳＴＩＧＳ,7967.991904039751,"['Season 40 Champs', 'Balerion All-Blacks']",27,True,8000.0
stanny,7966.596178087957,"['Nigma Rebellion', 'Balerion All-Blacks', 'Season 42 Champs', 'WAKANDA MADE IN CHYNA', 'Rektal Damage', 'Season 40 Champs']",117,True,8000.0
nkf,7956.816183502374,['#Packwatch'],23,True,8000.0
TURTLEKING!,7954.987127238658,['Toxic Tacos'],22,True,8000.0
SHIVER ME TIMBERS,7943.0652657831415,"['Nigma Rebellion', 'KnockKnock', 'Season 40 Champs']",44,True,8000.0
Legao,7942.9973846262765,"['Spice Boys', '#Packwatch']",23,True,8000.0
Bungus,7925.578158540514,"['WAKANDA MADE IN CHYNA', 'Waist Of Time', '1-800-QQ', 'Cinco De Mayo']",36,True,8000.0
Tree,7918.845331224684,"['Want Steep Sets?', 'Ensō', 'Bubble Team']",69,True,8000.0
Jidnahn ❤️ 響け!,7917.3529507913045,['#1 Yami Glazers'],20,True,8000.0
Billy Smoocher,7908.654933703672,"['Waist Of Time', 'Cinco De Mayo']",20,True,8000.0
Yami116,7908.1627477143165,['#1 Yami Glazers'],22,True,8000.0
Mode Dosiia,7900.675377061458,"['Fruits', 'The Whimsical Afrasians', 'Waist Of Time', 'Sounding Club']",31,True,8000.0
nojiit,7900.589068181719,"[""WoT's Sounding Club"", 'Scion and the 4 plebs', '1-800-QQ']",20,True,8000.0
involuntary celibate,7900.351688233329,['Empacadores de Soriana'],20,True,8000.0
Jgillett10,7899.9578875803645,"['Nigma Rebellion', 'Balerion All-Blacks', 'Giga Obese Ovarian Navigators', 'Season 42 Champs', 'WAKANDA MADE IN CHYNA', 'dXo-Heroic - Mantle of Midas']",81,True,8000.0
K7,7898.975044588975,"['Nigma Rebellion', 'Balerion All-Blacks', 'Season 42 Champs', 'Rektal Damage', 'Season 40 Champs']",91,True,8000.0
MasterZ34,7897.631077127975,['Want Steep Sets?'],41,True,8000.0
Andizzle,7890.418914487543,"['Nigma Rebellion', 'Season 42 Champs', 'Team Mochi', 'Soy Sauce: Revolution', 'WeLostThisBros', 'Season 40 Champs']",106,True,8000.0
OFF !!!,7890.016769288458,"['KnockKnock', 'Giga Obese Ovarian Navigators', '1-800-QQ']",51,True,8000.0
Drewarosa,7888.979714888078,['Dark Horse Tempest '],24,True,8000.0
Mari Illustrious Makinami,7883.457217816609,"['Northern Hog Suckers', 'Want Steep Sets?']",57,True,8000.0
Yawlo,7882.815969549653,['Empacadores de Soriana'],21,True,8000.0
Yrral,7879.128601472843,"['Northern Hog Suckers', 'Want Steep Sets?', 'dXo-Heroic - Mantle of Midas']",77,True,8000.0
ZYC,7874.455687378686,"['Spice Boys', 'dXo-Heroic - Mantle of Midas']",31,True,8000.0
hc worst nightmare,7872.801886084362,['Empacadores de Soriana'],22,True,8000.0
sorry,7866.136352585559,"['WeLostThisBros', 'Love & Peace (Right Version)']",40,True,8000.0
Picashii,7847.533536085253,['Dark Horse Tempest '],26,True,8000.0
FrodoLaporte,7844.634728971896,"['Northern Hog Suckers', 'Ape Express', 'Want Steep Sets?', 'Dark Horse']",78,True,8000.0
3row,7839.596992465364,"['Spice Boys', 'Sunlight Covenant', 'Team Tidehunter']",57,True,8000.0
For The Pills,7828.65175801612,['Gucci God'],20,True,8000.0
SiliXx.あすか,7821.679528832227,"['KnockKnock', 'Balerion All-Blacks', 'Northern Hog Suckers', 'Giga Obese Ovarian Navigators', 'Rektal Damage']",60,True,8000.0
50.Centaur Saves Gaza,7818.713350886881,"['Spice Boys', 'WAKANDA MADE IN CHYNA', 'Cinco De Mayo']",31,True,8000.0
THE BOILING FROG,7816.952447933525,['Aogiri Tree'],31,True,8000.0
Dr. EpiK,7813.810772712079,"['WeLostThisBros', 'Love & Peace (Right Version)']",43,True,8000.0
44 .•*¨*•.¸¸♪,7811.40783956382,"['WeLostThisBros', 'Aogiri Tree']",57,True,8000.0
buffles,7811.02209029471,"['NO WRAITHPACT', '1-800-QQ', 'dXo-Heroic - Mantle of Midas']",32,True,8000.0
Babaganoush,7803.7543916903605,['WeLostThisBros'],30,True,8000.0
soy jamon 4,7800.198508405499,"['TEAM POLAND', 'Team Tidehunter']",38,True,8000.0
Celtic,7798.869399520687,['Salt the Earth'],20,True,8000.0
S-10,7793.057367521601,"['Gucci God', '#1 Yami Glazers']",43,True,8000.0
wife,7792.742495511745,"['Spice Boys', 'New Rebellion', 'Giga Obese Ovarian Navigators', 'TEAM POLAND', 'dXo-Heroic - Mantle of Midas']",33,True,8000.0
Roo,7772.535221442826,"['Want Steep Sets?', 'Dark Horse']",93,True,8000.0
ferociousspud,7771.886989130599,['Dark Horse'],80,True,8000.0
Heapin' Honkers,7770.847606283458,"['WeLostThisBros', ""Helmet's On"", 'Aogiri Tree', 'Helmets On']",41,True,8000.0
raze,7770.795957248707,['Aogiri Tree'],37,True,8000.0
KingBob,7768.468584120787,"['Dark Horse Storm', 'Dark Horse Vitality', 'Dark Horse']",101,True,8000.0
sTough,7764.141573283136,['Dark Horse'],78,True,8000.0
Scarebee,7756.223764565177,['Dark Horse'],35,True,8000.0
Pumpkin(All chat muted),7754.946477118803,"['WeLostThisBros', 'The Whimsical Afrasians']",20,True,8000.0
ooo,7753.850364448561,"['DinoMight', 'Gucci God', 'Drip or Drown', '#1 Yami Glazers']",80,True,7300.0
Naya Of Alara,7753.15424928387,"['Balerion All-Blacks', 'Dark Horse', 'Emotional Damage', 'PSGS']",94,True,8000.0
Kr@Ken_430,7752.618397432962,['THE Sleppers4'],27,True,8000.0
Resisting the Desire to end it,7750.176307818577,"['The Whimsical Afrasians', 'Sounding Club', 'Gucci God', 'Aogiri Tree', 'Drip or Drown']",82,True,8000.0
Koamaru,7731.560332770235,"['dXo-Heroic - Mantle of Midas', 'Nat 20']",30,True,8000.0
HeroesOfNewerth,7728.351064820346,"['WeLostThisBros', 'Gucci God', 'Northern Hog Suckers', '#1 Yami Glazers']",89,True,8000.0
hk,7726.058243315539,"['Spice Boys', 'New Rebellion', 'Max Retaliate']",57,True,8000.0
Calipsis,7723.7134248805,"['Average Krill Eaters', 'Giga Obese Ovarian Navigators', 'Sunlight Covenant', 'Team Tidehunter']",52,True,8000.0
criminal animal,7700.006805243854,['Crime Time'],27,True,8000.0
mode: that brother needs help,7693.953385498697,"['TEAM POLAND', 'Garrett and Friends', 'Wasted Sad & Suicidal', 'Wasted.Creature']",60,True,7400.0
Sempiternal,7691.574241454793,"['tainted gluggers', 'mosin on valley']",27,True,8000.0
Chanel N°5,7683.64454395964,"['Spice Boys', 'tainted gluggers', 'mosin on valley']",50,True,8000.0
Tokamak,7678.143955660121,"['Balerion All-Blacks', 'Drip or Drown']",38,True,8000.0
mafjetz,7677.144361159907,['GRIN Scythe'],22,True,8000.0
Lord Luci,7667.0821481813055,"['Heroes of Golf?', 'Rektal Damage', '#Packwatch', 'Sounding Club']",52,True,8000.0
ok,7646.3824552755505,"['The Whimsical Afrasians', 'GOOD TWINK HUNTING', 'Twinks and The Twinker', ""WoT's Sounding Club"", 'Waist of Time', 'Daggers in my coco']",52,True,8000.0
Sixty Two Cents,7645.855859070724,"['Northern Hog Suckers', 'Soy Sauce: Revolution']",54,True,8000.0
Tokc,7641.240896521788,"['Wasted Sad & Suicidal', 'Wasted.Creature', 'Wasted with Clare in the Finals', 'We Scale Late ', 'Garrett and Friends']",76,True,8000.0
HULK,7637.958756426763,"['We Scale Late ', 'Wasted with Clare in the Finals', 'Wasted.Creature']",52,True,8000.0
Merk 13,7637.72094353993,"['Does This Game have Fall Damage?', 'dXo-Heroic - Mantle of Midas', 'Nat 20']",44,True,8000.0
TheSmallNut,7630.995663655323,"['Sounding Club', 'Ensō', 'Sunlight Covenant']",32,True,8000.0
green dragon bot,7629.747169970913,"['Heroes of Golf?', 'Waist Of Time', ""Brit I'm a Dog, Woof! Brrr"", 'GOOD TWINK HUNTING', 'Twinks and The Twinker', 'Ensō', 'Helmets On', 'Gucci God', 'Waist of Time', 'Golf Tuesday?', 'Daggers in my coco', 'Go play offlane', '7dark Thirty']",123,True,8000.0
jelly,7628.593425995535,"['Twinks and The Twinker', 'Los Animales de Golf?', 'Coked up (cute) Kobolds', 'GOOD TWINK HUNTING']",59,True,8000.0
smack,7623.4670314662335,"['Wasted Sad & Suicidal', 'TEAM POLAND', 'Wasted with Clare in the Finals', 'Team Tidehunter', 'Garrett and Friends']",71,True,8000.0
Panda,7619.117224775751,"['Heroes of Golf?', ""Brit I'm a Dog, Woof! Brrr"", 'GOOD TWINK HUNTING', 'Twinks and The Twinker', 'Sounding Club', ""WoT's Sounding Club"", 'Golf Tuesday?', 'Daggers in my coco', 'Team Tidehunter', 'Go play offlane']",88,True,8000.0
h!,7613.833222333085,['Wasted.Creature'],22,True,7500.0
SaulGinnis,7612.233260350692,"['Wasted Sad & Suicidal', 'Wasted.Creature', 'Wasted with Clare in the Finals', 'We Scale Late ', 'Garrett and Friends']",77,True,7500.0
Clare: Reloaded,7610.7301720447285,"['Wasted Sad & Suicidal', 'Wasted.Creature']",64,True,7400.0
de la Heeba,7609.434723576924,['Jukes Angels'],25,True,8000.0
Antivirus,7607.817818728978,"['Does This Game have Fall Damage?', 'Emotional Damage']",30,True,8000.0
Shamuraii,7601.921067599472,"['Heroes of Golf?', 'Team Tidehunter', 'Highly Regarded Individuals', 'Plinks of Golf?']",79,True,8000.0
bombogenesis day,7599.067752740348,"['Wasted.Creature', 'Wasted with Clare in the Finals', 'Foebe Phighters', 'We Scale Late ', 'Garrett and Friends']",64,True,7400.0
Banach,7594.253291529823,"['Heroes of Golf?', ""Brit I'm a Dog, Woof! Brrr"", 'Golf Monday?', 'Twinks and The Twinker', 'Golf Tuesday?']",80,True,6500.0
t.tv/shattovv,7587.466490558944,['beignet boys'],22,True,8000.0
Jax,7585.001178739369,"['Scion and the 4 plebs', 'good for ducks, good for me']",37,True,8000.0
Scionara,7567.8241991469995,"['Ensō', 'Scion and the 4 plebs', 'good for ducks, good for me', '#Packwatch']",84,True,8000.0
Imphatic,7565.804008895036,"['Nocturnal Rainbow', 'Salt the Earth']",22,True,7300.0
ShadowAce,7562.738610369492,"['We Scale Late ', 'Wasted.Creature']",24,True,7300.0
Fathomorg,7554.948238926889,"['Does This Game have Fall Damage?', 'WeLostThisBros', 'Love & Peace (Right Version)', 'Emotional Damage']",62,True,8000.0
Peter Buttermilk,7553.30040927547,['New Rebellion'],20,False,7000.0
ScurvyDog,7552.649071640233,"['New Rebellion', 'Cinco De Mayo', 'Waist of Time', 'Daggers in my coco', 'WAKANDA MADE IN CHYNA']",46,True,8000.0
LoneWolf,7550.637400498703,"['WAP', 'Baja Blasters']",23,True,8000.0
BokChoyBitch,7541.635597511696,"['Jason Vas Foundation Picks for the Cure', 'Max Retaliate']",23,True,8000.0
spanky,7536.232972646754,['Team Mochi'],82,True,8000.0
